ジャンルID,ジャンル名,ジャンルレベル
402195,ゼロ,5
402196,チョコレート,5
402197,トイマシーン,5
402198,パウエル,5
402199,ハビタット,5
402201,ファイブボロ,5
402202,ファンデーション,5
402204,ブラインド,5
402205,ブラックレーベル,5
402206,プランビー,5
402207,フリップ,5
402208,ベイカー,5
402209,ミステリー,5
402210,リアル,5
402213,リラ,5
205044,その他,5
302370,パーツ,4
208060,ウィール,5
208061,トラック,5
402214,ベアリング,5
402215,レンチ,5
205045,その他,5
200063,その他,4
214569,インラインスケート,3
402216,スケート,4
402217,K2,5
402218,サロモン,5
402219,ローラーブレード,5
214570,その他,5
214571,ウィール,4
214572,アクセサリー,4
214573,ヘルメット,5
214574,プロテクター,5
214575,その他,5
200064,その他,4
214577,キックボード,3
214578,キックボード,4
214579,パーツ,4
214580,ホイール,5
214581,その他,5
200065,その他,4
200066,その他,3
100558,テニス,2
208012,ラケット,3
208013,硬式用,4
208014,ウィルソン,5
208015,ダンロップ,5
208016,バボラ,5
214523,フィッシャー,5
208017,フォルクル,5
208018,ブリヂストン,5
208019,プリンス,5
208020,ヘッド,5
208021,ミズノ,5
208022,ヨネックス,5
208023,その他,5
402128,軟式用,4
402129,ダンロップ,5
402130,ヘッド,5
402131,ミズノ,5
402132,ヨネックス,5
208024,その他,5
508735,キッズ・ジュニア用,4
508736,ウィルソン,5
508737,バボラ,5
508738,プリンス,5
508739,ヨネックス,5
508740,その他,5
100559,その他,4
208025,シューズ,3
302288,オムニ・クレーコート用,4
302289,アシックス,5
302290,アディダス,5
506263,ウィルソン,5
302291,ナイキ,5
302292,プリンス,5
302293,ミズノ,5
302294,ヨネックス,5
208026,その他,5
508741,ハードコート用,4
508742,アシックス,5
508743,アディダス,5
508744,ウィルソン,5
508745,ナイキ,5
508746,プリンス,5
508747,ミズノ,5
508748,ヨネックス,5
508749,その他,5
302295,オールコート用,4
302296,アシックス,5
302297,アディダス,5
506264,ウィルソン,5
302298,ナイキ,5
302299,プリンス,5
302300,ミズノ,5
302301,ヨネックス,5
208027,その他,5
508750,キッズ・ジュニア用,4
508751,アシックス,5
508752,アディダス,5
508753,ウィルソン,5
508754,ナイキ,5
508755,プリンス,5
508756,ミズノ,5
508757,ヨネックス,5
508758,その他,5
100560,その他,4
302302,メンズウエア,3
508759,Tシャツ,4
302303,アディダス,5
506265,ウィルソン,5
302304,セルジオタッキーニ,5
508760,ディアドラ,5
302306,ナイキ,5
302307,バボラ,5
508761,プリンス,5
302308,ヨネックス,5
100561,その他,5
508762,ポロシャツ,4
508763,アディダス,5
508764,ウィルソン,5
508765,セルジオタッキーニ,5
508766,ディアドラ,5
508767,ナイキ,5
508768,バボラ,5
508769,プリンス,5
508770,ヨネックス,5
508771,その他,5
508772,ショートパンツ,4
508773,アディダス,5
508774,ウィルソン,5
508775,セルジオタッキーニ,5
508776,ディアドラ,5
508777,ナイキ,5
508778,バボラ,5
508779,プリンス,5
508780,ヨネックス,5
508781,その他,5
508782,ジャージー,4
508783,アディダス,5
508784,ウィルソン,5
508785,セルジオタッキーニ,5
508786,ディアドラ,5
508787,ナイキ,5
508788,バボラ,5
508789,プリンス,5
508790,ヨネックス,5
508791,その他,5
508792,ウインドブレーカー,4
508793,アディダス,5
508794,ウィルソン,5
508795,セルジオタッキーニ,5
508796,ディアドラ,5
508797,ナイキ,5
508798,バボラ,5
508799,プリンス,5
508800,ヨネックス,5
508801,その他,5
508802,ソックス,4
208029,その他,4
302309,レディースウエア,3
508803,Tシャツ,4
302310,アディダス,5
508804,エレッセ,5
506266,ウィルソン,5
302311,セルジオタッキーニ,5
508805,ディアドラ,5
302313,ナイキ,5
302314,バボラ,5
508806,フィラ,5
508807,プリンス,5
302315,ヨネックス,5
508808,その他,5
508809,ポロシャツ,4
508810,アディダス,5
508811,エレッセ,5
508812,ウィルソン,5
508813,ディアドラ,5
508814,ナイキ,5
508815,バボラ,5
508816,フィラ,5
508817,プリンス,5
508818,ヨネックス,5
508819,その他,5
508820,ショートパンツ,4
508821,アディダス,5
508822,エレッセ,5
508823,ウィルソン,5
508824,ディアドラ,5
508825,ナイキ,5
508826,バボラ,5
508827,フィラ,5
508828,プリンス,5
508829,ヨネックス,5
508830,その他,5
508831,ジャージー,4
508832,アディダス,5
508833,エレッセ,5
508834,ウィルソン,5
508835,ディアドラ,5
508836,ナイキ,5
508837,バボラ,5
508838,フィラ,5
508839,プリンス,5
508840,ヨネックス,5
508841,その他,5
508842,ウインドブレーカー,4
508843,アディダス,5
508844,エレッセ,5
508845,ウィルソン,5
508846,ディアドラ,5
508847,ナイキ,5
508848,バボラ,5
508849,フィラ,5
508850,プリンス,5
508851,ヨネックス,5
508852,その他,5
508853,ソックス,4
208030,その他,4
508854,ジュニアウエア,3
508855,アディダス,4
508856,ダンロップ,4
508857,ナイキ,4
508858,ヘッド,4
508859,ヨネックス,4
214524,その他,4
506269,キャップ・サンバイザー,3
506270,アディダス,4
506271,ウィルソン,4
506272,ゴーセン,4
506273,ダンロップ,4
506274,ディアドラ,4
506275,ナイキ,4
506276,バボラ,4
506277,プーマ,4
506278,フォルクル,4
506279,プリンス,4
506280,ヘッド,4
506281,ヨネックス,4
407741,その他,4
508860,リストバンド,3
508861,アディダス,4
508862,ディアドラ,4
508863,バボラ,4
508864,プリンス,4
508865,ヨネックス,4
407742,その他,4
508866,グローブ,3
508867,アディダス,4
508868,ウィルソン,4
508869,プリンス,4
214525,その他,4
208031,ガット,3
402133,硬式用,4
402134,ウィルソン,5
402135,ゴーセン,5
402136,トアルソン,5
402137,バボラ,5
402138,プリンス,5
402139,ヨネックス,5
402140,ルキシロン,5
508870,ロール,5
208032,その他,5
402141,軟式用,4
402142,ゴーセン,5
402143,トアルソン,5
402144,ヨネックス,5
508871,ロール,5
208033,その他,5
201828,その他,4
402145,バッグ,3
402146,ラケットバッグ,4
402147,アディダス,5
402148,ウィルソン,5
506267,ダンロップ,5
402149,ナイキ,5
402150,バボラ,5
402151,ブリヂストン,5
402152,プリンス,5
402153,ヘッド,5
506268,ミズノ,5
402154,ヨネックス,5
402155,その他,5
201829,その他,4
402156,ボール,3
508872,プレッシャー,4
402157,ウィルソン,5
402158,ダンロップ,5
402159,ブリヂストン,5
402160,ヨネックス,5
508873,その他,5
508874,ノンプレッシャー,4
508875,ウィルソン,5
508876,ダンロップ,5
508877,ブリヂストン,5
508878,ヨネックス,5
508879,その他,5
508880,ジュニアボール,4
508881,軟式用,4
508882,SHOWA,5
508883,ナガセケンコー,5
508885,その他,5
201830,その他,4
214526,グリップテープ,3
508886,オーバーグリップ,4
508887,ウィルソン,5
508888,バボラ,5
508889,プリンス,5
508890,ヘッド,5
508891,ヨネックス,5
214527,その他,5
508892,リプレイスメントグリップ,4
508893,ウィルソン,5
508894,バボラ,5
508895,プリンス,5
508896,ヘッド,5
508897,ヨネックス,5
214528,その他,5
208035,その他,4
508898,テニス小物,3
508899,振動止め,4
508900,ウィルソン,5
508901,バボラ,5
508902,プリンス,5
508903,ヨネックス,5
407743,その他,5
508904,サポーター,4
508905,ザムスト,5
508906,バボラ,5
508907,ヨネックス,5
407744,その他,5
508908,タオル,4
508909,ジャグ,4
508910,ステンシルマーク,4
508911,その他,4
508912,コート整備・備品,3
508913,ネット,4
508914,ブラシ,4
508915,ローラー,4
508916,水掻き,4
508917,ストリングマシン,4
508918,球出し機,4
508919,ボールカゴ,4
508920,空気入れ（軟式ボール）,4
407745,その他,4
101834,その他,3
201959,バスケットボール,2
214621,シューズ,3
214623,アシックス,4
302458,アディダス,4
302459,アンドワン,4
302460,ダダ,4
214624,ナイキ,4
214622,ミズノ,4
302461,リーボック,4
201960,その他,4
214625,ボール,3
402377,5号ボール,4
402378,アディダス,5
402379,ナイキ,5
402380,モルテン,5
214626,その他,5
402381,6号ボール,4
402382,アディダス,5
402383,ナイキ,5
402384,モルテン,5
214627,その他,5
402385,7号ボール,4
402386,アディダス,5
402387,ナイキ,5
402388,モルテン,5
214628,その他,5
201961,その他,4
214629,ウエア,3
214630,レプリカユニフォーム,4
402389,ゲームシャツ,4
402390,アディダス,5
402391,ナイキ,5
402392,リーボック,5
214631,その他,5
402393,プラクティスシャツ,4
402394,アディダス,5
402395,ナイキ,5
214632,その他,5
402397,パンツ,4
402398,アディダス,5
402399,ナイキ,5
402400,リーボック,5
214633,その他,5
402401,ソックス,4
402402,アディダス,5
402403,ナイキ,5
214634,その他,5
214635,その他,4
214636,アクセサリー,3
214637,バッグ,4
214638,リストバンド,4
214639,ヘッドバンド,4
214640,その他,4
214641,設備・備品,3
201962,その他,3
201950,バドミントン,2
214613,ラケット,3
508921,ウィルソン,4
508922,ゴーセン,4
214614,ブリヂストン,4
508923,プリンス,4
508924,ミズノ,4
214615,ヨネックス,4
201951,その他,4
508925,シューズ,3
508926,アシックス,4
508927,プリンス,4
508928,ミズノ,4
508929,ヨネックス,4
201952,その他,4
508930,ウエア,3
508931,メンズ,4
508932,レディース,4
508933,その他,4
508934,ガット,3
508936,ゴーセン,4
508937,ヨネックス,4
508938,その他,4
508939,グリップテープ,3
508940,ヨネックス,4
508941,その他,4
508942,シャトル,3
508943,RSL,4
508944,ゴーセン,4
508945,ヨネックス,4
201953,その他,4
508946,練習器具・備品,3
508947,支柱・ネット,4
508948,その他,4
564423,バッグ,3
201954,その他,3
201963,バレーボール,2
214643,ボール,3
402405,4号ボール,4
402406,ミカサ,5
402407,モルテン,5
214644,その他,5
402408,5号ボール,4
402409,ミカサ,5
402410,モルテン,5
214645,その他,5
214646,ビーチバレーボール,4
201964,その他,4
214647,メンズウエア,3
214648,ジャケット,4
214649,シャツ,4
214650,パンツ,4
214651,ソックス,4
201965,その他,4
501988,レディースウエア,3
501989,ジャケット,4
501990,シャツ,4
501991,パンツ,4
501992,ソックス,4
501993,その他,4
214652,シューズ,3
214653,アシックス,4
214654,ミズノ,4
201966,その他,4
214655,アクセサリー,3
214656,サポーター,4
214657,ひざ用,5
214658,ひじ用,5
214659,その他,5
214660,バッグ,4
214661,その他,4
506378,設備・備品,3
506379,ボール収納カゴ,4
506380,バレーネット,4
214662,その他,4
214663,ソフトバレー,3
214664,ボール,4
214665,設備・備品,4
214666,その他,4
201967,その他,3
111961,フィッシング,2
201899,ロッド・竿,3
402312,ロッド,4
402313,がまかつ,5
402314,シマノ,5
402315,ダイワ,5
201900,その他,5
402316,海釣り,4
402317,がまかつ,5
402318,シマノ,5
402319,ダイワ,5
201901,その他,5
402320,淡水・川,4
402321,がまかつ,5
402322,シマノ,5
402323,ダイワ,5
201902,その他,5
402324,船釣り,4
402325,がまかつ,5
402326,シマノ,5
402327,ダイワ,5
201903,その他,5
402328,投げ釣り,4
402329,がまかつ,5
402330,シマノ,5
402331,ダイワ,5
201904,その他,5
506360,チヌ釣り,4
506361,がまかつ,5
506362,シマノ,5
506363,ダイワ,5
506364,その他,5
402332,磯釣り,4
402333,がまかつ,5
402334,シマノ,5
402335,ダイワ,5
201905,その他,5
402336,バスロッド（スピニング）,4
402337,がまかつ,5
501937,エバーグリーン,5
402338,シマノ,5
402339,ダイワ,5
501938,ノリーズ,5
501939,メガバス,5
501940,メジャークラフト,5
201906,その他,5
402340,バスロッド（ベイト）,4
402341,がまかつ,5
501941,エバーグリーン,5
402342,シマノ,5
402343,ダイワ,5
501942,ノリーズ,5
501943,メガバス,5
501944,メジャークラフト,5
201907,その他,5
402344,ソルトウォーターロッド,4
402345,がまかつ,5
402346,シマノ,5
402347,ダイワ,5
201908,その他,5
501945,エギングロッド,4
501946,がまかつ,5
501947,エバーグリーン,5
501948,シマノ,5
501949,ダイワ,5
501950,メガバス,5
501951,メジャークラフト,5
501952,その他,5
506365,ジギングロッド,4
506366,エバーグリーン,5
506367,シマノ,5
506368,ダイワ,5
506369,その他,5
506370,キャスティングロッド,4
506371,エバーグリーン,5
506372,ダイワ,5
506373,メガバス,5
506374,その他,5
501953,トラウトロッド,4
501954,がまかつ,5
501955,シマノ,5
501956,ダイワ,5
501957,その他,5
402348,ヘラブナ,4
402349,がまかつ,5
402350,シマノ,5
402351,ダイワ,5
201909,その他,5
402352,渓流・鮎,4
402353,がまかつ,5
402354,シマノ,5
402355,ダイワ,5
201910,その他,5
402356,フライ,4
402358,シマノ,5
402359,ダイワ,5
501958,ティムコ,5
201911,その他,5
111964,その他,4
201912,リール,3
208081,スピニング,4
208082,ダイワ,5
208083,シマノ,5
201913,その他,5
208084,ベイト,4
208085,ダイワ,5
208086,シマノ,5
201914,その他,5
208087,船釣り用,4
208088,ダイワ,5
208089,シマノ,5
201915,その他,5
111963,その他,4
201916,ルアー,3
204309,ハードルアー,4
208090,ミノー・プラグ,5
208091,トップウォーター,5
208092,バイブレーション,5
208093,クランクベイト,5
208094,スピナーベイト,5
506376,バズベイト,5
506377,シャッド,5
208095,ラバージグ,5
208096,メタルジグ,5
208097,ソルトウォーター,5
302421,エギ,5
501959,スプーン,5
201917,その他,5
208098,ソフトルアー,4
208099,ストレート,5
208100,ワーム,5
208101,チューブ,5
208102,クロー,5
201918,その他,5
302422,フライ,4
302424,パラシュート,5
302426,エルクヘアカディス,5
302427,CDCフライ,5
302428,ニンフ,5
302429,ビーズヘッド,5
302430,ストリーマー,5
302431,その他,5
111962,その他,4
302432,フライフィッシング,3
302433,フライリール,4
302434,フライライン,4
302435,フライマテリアル,4
302436,タイイングツール,4
302437,フライフィッシングアクセサリー,4
302438,フライベスト,4
302439,フライBOX,4
302440,その他,4
201919,ウエア,3
201920,ウェーダー・フローター,4
201921,ジャケット・パンツ,4
407930,ベスト,4
208103,レインウエア,4
208104,キャップ・サンバイザー,4
208105,Tシャツ,4
208106,パーカ,4
208107,シューズ・ブーツ,4
111969,その他,4
201922,バッグ・ケース,3
201923,バッグ,4
201924,ケース・道具箱,4
201925,クーラーボックス,4
111965,その他,4
111966,小物（針・ライン・仕掛け・ウキ）,3
111967,フック・針,4
208108,ライン,4
208109,ナイロン,5
208110,フロロカーボン,5
208111,PE,5
208112,ハリス,5
111968,その他,5
201926,仕掛け,4
208113,ウキ,4
208114,オモリ,4
302445,玉網,4
302446,ギャフ,4
302447,ボガグリップ,4
501960,ネット,4
112909,その他,4
205059,魚群探知機,3
208115,アクセサリー,3
208116,偏光サングラス,4
208129,その他,4
112908,その他,3
200170,フィットネス・トレーニング,2
201865,スポーツ器具,3
201866,バーベル,4
503299,ダンベル,4
201867,フィットネスバイク,4
201868,メディシンボール,4
205052,ランニングマシン,4
205053,エキスパンダー,4
205054,プレスベンチ,4
208062,とび縄,4
407914,体力測定器,4
200181,その他,4
201869,スポーツウエア,3
501871,メンズウエア,4
201870,パンツ,5
201871,ジャケット,5
201872,トップス,5
205055,サウナスーツ,5
201873,シューズ,5
501872,その他,5
501873,レディースウエア,4
501874,パンツ,5
501875,ジャケット,5
501876,トップス,5
501877,サウナスーツ,5
501878,シューズ,5
501879,その他,5
200182,その他,4
200183,その他,3
214512,フットサル,2
214513,メンズウエア,3
402106,ジャケット,4
501694,ジャージー,5
501695,ピステ,5
501696,スウェット,5
501697,ベンチコート,5
214514,その他,5
402110,シャツ,4
501698,半袖,5
501699,長袖,5
214515,その他,5
501700,スウェット,4
402114,パンツ,4
501701,ゲーム用,5
501702,ハーフパンツ,5
501703,ロングパンツ,5
214516,その他,5
214517,ストッキング,4
214518,その他,4
501704,レディースウエア,3
501705,ジャケット,4
501706,ジャージー,5
501707,ピステ,5
501708,スウェット,5
501709,ベンチコート,5
501710,その他,5
501711,シャツ,4
501712,半袖,5
501713,長袖,5
501714,その他,5
501715,スウェット,4
501716,パンツ,4
501717,ゲーム用,5
501718,ハーフパンツ,5
501719,ロングパンツ,5
501720,その他,5
501721,ストッキング,4
501722,その他,4
302277,シューズ,3
501723,屋内用,4
402118,アシックス,5
302278,アディダス,5
302279,アンブロ,5
501724,ダウポンチ,5
302280,ディアドラ,5
302281,ナイキ,5
302282,プーマ,5
501726,ペナルティ,5
302283,ミズノ,5
501727,その他,5
501728,屋外用,4
501729,アシックス,5
501730,アディダス,5
501731,アンブロ,5
501732,ダウポンチ,5
501733,ディアドラ,5
501734,ナイキ,5
501736,プーマ,5
501737,ペナルティ,5
501738,ミズノ,5
501739,その他,5
214519,その他,4
402119,ボール,3
402121,アディダス,4
402120,ナイキ,4
506258,プーマ,4
506259,マイター,4
506260,ペナルティ,4
506261,ミズノ,4
506262,ミカサ,4
402122,モルテン,4
214520,その他,4
402123,キーパー用品,3
402124,ウエア,4
402125,パンツ,4
402126,キーパーグローブ,4
402127,その他,4
501740,審判用品,3
501741,ウエア,4
501742,ホイッスル,4
501743,カード,4
501744,フラッグ,4
501745,その他,4
501746,アクセサリー,3
501747,バッグ,4
501748,シンガード（すねあて）,4
501749,キャップ,4
501750,ビーニー,4
501751,ミサンガ,4
214521,その他,4
302284,設備・備品,3
302285,ゴール,4
302286,コーン,4
501752,ビブス,4
302287,その他,4
201827,その他,3
101100,マリンスポーツ,2
204994,ウェットスーツ,3
501753,メンズ,4
204996,サーフィン用,5
501754,ダイビング用,5
201831,その他,5
501755,レディース,4
501756,サーフィン用,5
501757,ダイビング用,5
501758,その他,5
501759,子供用,4
101900,その他,4
208036,ラッシュガード,3
501760,メンズ,4
208037,長袖ラッシュガード,5
208038,半袖ラッシュガード,5
208039,その他,5
501761,レディース,4
501762,長袖ラッシュガード,5
501763,半袖ラッシュガード,5
501764,その他,5
501765,子供用,4
501766,その他,4
304903,ライフジャケット,3
501767,メンズ,4
302442,ベストタイプ,5
302443,自動膨張タイプ,5
302444,手動膨張タイプ,5
201832,その他,5
501768,レディース,4
501769,ベストタイプ,5
501770,自動膨張タイプ,5
501771,手動膨張タイプ,5
501772,その他,5
501773,子供用,4
501774,その他,4
302318,ボディボード,3
302319,ボード,4
302320,ボード単体,5
302321,ボディボードセット,5
302322,その他,5
407746,リーシュコード,4
302323,フィン,4
302324,フィンソックス,4
506282,ボードケース,4
506283,ニットケース,5
506284,ハードケース,5
302325,その他,5
407747,アクセサリー,4
101104,その他,4
201834,サーフィン,3
208040,ボード,4
208041,ショートボード,5
208042,ロングボード,5
302326,ファンボード,5
407748,ノーズライダー,5
201835,その他,5
208043,デッキパッド,4
208044,リーシュコード,4
302328,ボードケース,4
407749,ニットケース,5
302329,ハードケース,5
506285,トラベルケース,5
208045,その他,5
201836,フィン,4
208046,ドライスーツ,4
506286,グローブ,4
208047,ブーツ,4
506287,アクセサリー,4
506288,ワックス,5
506289,ハンガー,5
506290,携帯用シャワー,5
407750,その他,5
407751,トレーニング用具,4
101105,その他,4
302332,ウィンドサーフィン,3
302333,ボード,4
302334,セイル,4
302335,マスト,4
302336,ブーム,4
302337,ハーネス,4
302338,ライン,4
302339,アクセサリー,4
200076,その他,4
402161,ウェイクボード,3
402162,ボード,4
402163,ビンディング,4
402164,ハンドル,4
402165,ライン,4
407753,ライフジャケット,4
407754,ボードケース,4
402166,アクセサリー,4
208048,その他,4
201837,ダイビング,3
407755,重器材,4
201838,重器材セット,5
407763,その他,5
302340,軽器材,4
506296,2点セット,5
506297,3点セット,5
302341,4点セット,5
302342,6点セット,5
201839,その他,5
407770,レギュレータ,4
407771,Bism,5
407772,SAS,5
407773,TUSA,5
407774,アクアラング,5
407775,クレッシーサブ,5
407776,スキューバプロ,5
201840,その他,5
407837,BC,4
407838,Bism,5
407840,SAS,5
407841,TUSA,5
407842,アクアラング,5
407844,クレッシーサブ,5
407845,スキューバプロ,5
201850,その他,5
407822,ゲージ,4
407823,Bism,5
407824,HUSE,5
407825,SAS,5
407826,TUSA,5
407827,アクアラング,5
407829,クレッシーサブ,5
407830,スキューバプロ,5
201847,その他,5
506304,オクトパス,4
506305,Bism,5
506306,SAS,5
506307,TUSA,5
506308,アクアラング,5
506309,スキューバプロ,5
506310,その他,5
407806,ダイブコンピュータ,4
407807,Bism,5
407808,SAS,5
407809,TUSA,5
407810,アクアラング,5
407811,オーシャニック,5
407812,スキューバプロ,5
407813,スント,5
407814,マレス,5
201844,その他,5
407778,マスク,4
407779,Bism,5
407780,GULL,5
407781,SAS,5
407782,TUSA,5
407783,アクアラング,5
407784,アクセサリー,5
407785,クレッシーサブ,5
407786,スキューバプロ,5
201841,その他,5
407787,スノーケル,4
407788,Bism,5
407789,GULL,5
407790,SAS,5
407791,TUSA,5
407792,アクアラング,5
407793,クレッシーサブ,5
407794,スキューバプロ,5
407795,アクセサリー,5
201842,その他,5
407796,フィン,4
407797,Bism,5
407798,GULL,5
407799,SAS,5
407800,TUSA,5
407801,アクアラング,5
407802,クレッシーサブ,5
407803,スキューバプロ,5
407805,アクセサリー,5
201843,その他,5
407815,グローブ,4
407816,Bism,5
407817,SAS,5
407818,TUSA,5
407819,アクアラング,5
407820,スキューバプロ,5
201846,その他,5
407847,ブーツ,4
407848,Bism,5
407849,SAS,5
407850,TUSA,5
407851,アクアラング,5
407852,スキューバプロ,5
208051,その他,5
201845,水中ライト,4
201848,水中写真器材,4
506311,メッシュバッグ,4
506312,GULL,5
506313,SAS,5
506314,TUSA,5
506315,アクアラング,5
506316,スキューバプロ,5
407832,その他,5
407833,ダイビングバッグ,4
407834,キャスターバッグ,5
407835,ハードケース,5
407836,防水バッグ,5
201849,その他,5
208050,ドライスーツ,4
407854,アクセサリー,4
407855,マスクストラップカバー,5
407856,フック・ホルダー,5
407857,ダイビングナイフ,5
506317,ウエイト,5
407858,防水バッグ,5
407859,ハンガー,5
407860,メンテナンス用品,5
208052,その他,5
302343,オーバーホール関連,4
200077,その他,4
204998,船・ボート,3
204999,船・ボート,4
205000,アンカー,4
302344,係留装置（フェンダー・クリート）,4
302345,ロープ,4
302346,エンジン,4
208053,バッテリー,4
302347,船底塗料,4
200440,その他,4
501775,水上バイク,3
501776,本体,4
501777,トレーラー,4
501778,パーツ,4
501779,オイル,4
501780,カバー,4
302349,その他,4
501781,ヨット,3
501782,本体,4
501783,ウエア,4
501784,グローブ,4
501785,備品,4
501786,その他,4
201851,カヌー・カヤック,3
201852,カヌー,4
201853,カヤック,4
201854,パドル・オール,4
402167,アクセサリー,4
201855,その他,4
101899,その他,3
407916,ヨガ・ピラティス,2
501880,ウエア,3
501881,インナー,4
501882,パンツ,4
501883,トップス,4
407917,その他,4
501884,シューズ,3
501885,ナイキ,4
501886,プーマ,4
501887,リーボック,4
407918,その他,4
407919,バッグ,3
204688,ヨガマット,3
407921,その他,3
101157,自転車,2
201689,シティサイクル,3
551922,WACHSEN,4
505742,クライスラー,4
501329,コルベット,4
505743,シマノ,4
501330,シボレー,4
501331,ジャイアント,4
551923,トップワン,4
501333,ドッペルギャンガー,4
501334,パナソニック（ナショナル）,4
501335,ビアンキ,4
201690,ブリヂストン,4
551924,マイパラス,4
201692,マルイシ,4
201691,ミヤタ,4
501336,ルイガノ,4
501337,ルノー,4
501338,ローバー,4
101158,その他,4
201683,折りたたみ自転車,3
501311,ARUN,4
201684,DAHON,4
501312,KHS,4
302188,KIKI,4
501313,OTOMO,4
551919,WACHSEN,4
501315,カザト,4
302189,コルベット,4
501316,ジッポ（ZIPPO）,4
505739,シマノ,4
302190,シボレー,4
302191,ジープ,4
201685,ジャイアント,4
501317,スウィツスポート,4
505740,ストライダ,4
505741,ディブラッシ,4
551920,トップワン,4
501318,ドッペルギャンガー,4
201688,パナソニック（ナショナル）,4
501321,ハマー,4
204928,ビアンキ,4
201686,プジョー,4
201687,ブリヂストン,4
501322,ブロンプトン,4
551921,マイパラス,4
501323,モバイリー,4
501324,ライズアンドミューラー,4
501325,ランボルギーニ,4
501326,ルイガノ,4
501327,ルノー,4
501328,レイチェル,4
302192,ローバー,4
101160,その他,4
302202,電動アシスト自転車,3
302203,サンヨー,4
505751,サンスター,4
302204,パナソニック（ナショナル）,4
302205,ブリヂストン,4
302206,ヤマハ,4
200083,その他,4
207950,ロードバイク,3
207954,GT,4
501339,KHS,4
505744,クライスラー,4
302194,シボレー,4
505745,シュウィン,4
207953,ジェイミス,4
505746,ジオス,4
207951,ジャイアント,4
207952,スコット,4
207957,スペシャライズド,4
501340,ドッペルギャンガー,4
207958,ビアンキ,4
563141,フジ,4
207955,ブリヂストン,4
551925,プログレッシブ,4
505747,ラレー,4
501341,ランボルギーニ,4
501342,ルイガノ,4
302196,ローバー,4
207956,メリダ,4
201694,その他,4
204915,クロスバイク,3
505736,BE・ALL,4
204921,GT,4
501298,K2,4
501299,KHS,4
501300,コナ,4
302186,コルベット,4
551913,コーダーブルーム,4
501301,ジオス,4
501302,シュウィン,4
302187,シボレー,4
505737,シマノ,4
204920,ジェイミス,4
204917,ジャイアント,4
551914,ジャンゴ,4
204919,スコット,4
204925,スペシャライズド,4
501303,センチュリオン,4
501304,ドッペルギャンガー,4
501305,パナソニック（ナショナル）,4
204926,ビアンキ,4
551915,フェルト,4
501306,フジ,4
204923,プジョー,4
204922,ブリヂストン,4
551916,プログレッシブ,4
501307,マリーン,4
551917,マイパラス,4
551918,マングース,4
204924,メリダ,4
501308,ラレー,4
501309,ランボルギーニ,4
204918,ルイガノ,4
501310,ルノー,4
204927,その他,4
201672,マウンテンバイク（MTB）,3
501276,BMW,4
505735,DAHON,4
201677,GT,4
501277,K2,4
501278,KHS,4
501279,アラン,4
501281,カザト,4
501282,コナ,4
302182,コルベット,4
551910,コールマン,4
501283,ジオス,4
302183,シボレー,4
201676,ジェイミス,4
501284,ジッポ（ZIPPO）,4
201673,ジャイアント,4
501285,シュウィン,4
302185,ジープ,4
201675,スコット,4
201681,スペシャライズド,4
501287,センチュリオン,4
501288,ドッペルギャンガー,4
501289,パナソニック（ナショナル）,4
501290,ハマー,4
501291,ハロー,4
201682,ビアンキ,4
501292,フジ,4
201679,プジョー,4
201678,ブリヂストン,4
551911,プログレッシブ,4
551912,マイパラス,4
501293,マリーン,4
501294,マングース,4
501295,ミヤタ,4
201680,メリダ,4
501296,ラレー,4
201674,ルイガノ,4
501297,ルノー,4
101159,その他,4
402012,小径自転車（ミニベロ）,3
402014,GT,4
501343,パナソニック（ナショナル）,4
501344,ルイガノ,4
501345,ローバー,4
402017,その他,4
302197,ビーチクルーザー,3
505748,GT,4
302198,KIKI,4
302199,クライスラー,4
505749,コナ,4
505750,シュウィン,4
302201,その他,4
505753,BMX,3
505754,GT,4
505755,シュウィン,4
505756,ダイヤモンドバック,4
505758,ドッペルギャンガー,4
505759,ランボルギーニ,4
505760,ハロー,4
505762,マングース,4
200084,その他,4
402018,子供用自転車,3
402019,GT,4
501346,KHS,4
505763,クライスラー,4
501347,コルベット,4
402021,ジャイアント,4
501348,シボレー,4
501349,ジープ,4
402022,スコット,4
402023,スペシャライズド,4
501350,パナソニック（ナショナル）,4
402025,ブリヂストン,4
501351,ミヤタ,4
402026,ルイガノ,4
200089,その他,4
501352,一輪車,3
505764,エバニュー,4
501354,ブリヂストン,4
501355,ミヤタ,4
204916,その他,4
201695,アクセサリー・グッズ,3
505766,サイクルメーター,4
505767,キャットアイ,5
563142,ガーミン,5
563143,シマノ,5
505768,トピーク,5
505769,トレロック,5
505770,ベッタ,5
505771,ポラール,5
402027,その他,5
501400,ライト・ランプ,4
501401,フロント用,5
501402,リア用,5
201700,その他,5
407702,ロック・施錠,4
407703,前輪錠,5
407704,後輪錠,5
407705,ワイヤーロック,5
407706,ダイヤルロック,5
407707,チェーンロック,5
407708,U字ロック,5
407709,リングロック,5
407710,ブースターロック,5
407711,サドルロック,5
204930,その他,5
204933,カゴ,4
204931,キャリア・荷台,4
501360,チャイルドシート（後用）,4
501361,OGK,5
501362,ハマックス,5
501363,ブリヂストン,5
501364,その他,5
501356,チャイルドシート（前用）,4
501357,OGK,5
501358,ハマックス,5
501359,ブリヂストン,5
201696,その他,5
505773,スタンド,4
505774,センタースタンド,5
505775,サイドスタンド,5
505776,ディスプレイスタンド,5
